age_raw;qx;lx;ex;age
0–1;0,0056045660749077;100000,0;77,45694732666016;0,0
1–2;0,0004438421165104;99439,546875;76,89276123046875;1,0
2–3;0,000283871195279;99395,4140625;75,92668151855469;2,0
3–4;0,0002219992747996;99367,1953125;74,9480972290039;3,0
4–5;0,0001676841784501;99345,1328125;73,96463775634766;4,0
5–6;0,0001546710263937;99328,4765625;72,9769515991211;5,0
6–7;0,0001393489801557;99313,1171875;71,98816680908203;6,0
7–8;0,0001275418617296;99299,28125;70,99812316894531;7,0
8–9;0,0001159024104708;99286,6171875;70,00711059570312;8,0
9–10;0,0001053080122801;99275,109375;69,01516723632812;9,0
10–11;0,0001009242114378;99264,65625;68,02238464355469;10,0
11–12;0,0001115137492888;99254,640625;67,0291976928711;11,0
12–13;0,0001472071162424;99243,5703125;66,03662109375;12,0
13–14;0,0002134059177478;99228,9609375;65,04627227783203;13,0
14–15;0,0003022832097485;99207,78125;64,06005096435547;14,0
15–16;0,0004020675551146;99177,7890625;63,07926940917969;15,0
16–17;0,0005013616755604;99137,9140625;62,10444259643555;16,0
17–18;0,0005962431896477;99088,2109375;61,135345458984375;17,0
18–19;0,0006803901051171;99029,1328125;60,17151641845703;18,0
19–20;0,0007560272933915;98961,7578125;59,21213912963867;19,0
20–21;0,0008321041241288;98886,9375;58,25656509399414;20,0
21–22;0,000911422073841;98804,65625;57,30466079711914;21,0
22–23;0,0009892806410789;98714,6015625;56,35648727416992;22,0
23–24;0,0010674551595002;98616,9453125;55,41179656982422;23,0
24–25;0,0011481443652883;98511,6796875;54,47047424316406;24,0
25–26;0,0012305363779887;98398,5703125;53,532508850097656;25,0
26–27;0,001316009205766;98277,484375;52,59785079956055;26,0
27–28;0,0014063519192859;98148,1484375;51,66650772094727;27,0
28–29;0,0014992424985393;98010,1171875;50,738563537597656;28,0
29–30;0,0015907110646367;97863,1796875;49,813995361328125;29,0
30–31;0,0016815533163025;97707,5078125;48,89256286621094;30,0
31–32;0,0017694801790639;97543,2109375;47,97407531738281;31,0
32–33;0,0018509230576455;97370,609375;47,058231353759766;32,0
33–34;0,0019268181640654;97190,3828125;46,14456558227539;33,0
34–35;0,002001765416935;97003,1171875;45,23268127441406;34,0
35–36;0,0020797373726963;96808,9375;44,32240676879883;35,0
36–37;0,0021643158979713;96607,6015625;43,41373825073242;36,0
37–38;0,0022572379093617;96398,515625;42,506813049316406;37,0
38–39;0,0023592254146933;96180,921875;41,60184860229492;38,0
39–40;0,0024689026176929;95954,0078125;40,69904708862305;39,0
40–41;0,002592704957351;95717,109375;39,79853820800781;40,0
41–42;0,0027248109690845;95468,9453125;38,900691986083984;41,0
42–43;0,0028541490901261;95208,8125;38,00561141967773;42,0
43–44;0,0029796478338539;94937,0703125;37,11296463012695;43,0
44–45;0,0031129398848861;94654,1875;36,22238540649414;44,0
45–46;0,0032710854429751;94359,53125;35,33393859863281;45,0
46–47;0,0034662270918488;94050,875;34,4482536315918;46,0
47–48;0,0036946567706763;93724,875;33,56633758544922;47,0
48–49;0,0039499336853623;93378,59375;32,68895721435547;48,0
49–50;0,0042257155291736;93009,7578125;31,81660461425781;49,0
50–51;0,0045147612690925;92616,7265625;30,949501037597656;50,0
51–52;0,0048330896534025;92198,5859375;30,087594985961918;51,0
52–53;0,0052038128487765;91752,984375;29,23128890991211;52,0
53–54;0,0056472192518413;91275,515625;28,38158416748047;53,0
54–55;0,0061621745117008;90760,0625;27,53993225097656;54,0
55–56;0,0067089321091771;90200,78125;26,707592010498047;55,0
56–57;0,0072853327728807;89595,6328125;25,88460350036621;56,0
57–58;0,007930370979011;88942,8984375;25,07089614868164;57,0
58–59;0,0086412737146019;88237,546875;24,267311096191406;58,0
59–60;0,0093922168016433;87475,0625;23,47447967529297;59,0
60–61;0,0101727675646543;86653,4765625;22,69230842590332;60,0
61–62;0,0109602957963943;85771,96875;21,920385360717773;61,0
62–63;0,0117412554100155;84831,8828125;21,157760620117188;62,0
63–64;0,0125237666070461;83835,8515625;20,40319061279297;63,0
64–65;0,0133402906358242;82785,9140625;19,655614852905277;64,0
65–66;0,0142182782292366;81681,5234375;18,91461181640625;65,0
66–67;0,0152796125039458;80520,15625;18,18021011352539;66,0
67–68;0,0163294430822134;79289,8359375;17,45454978942871;67,0
68–69;0,0175238773226737;77995,078125;16,736003875732422;68,0
69–70;0,0188241433352231;76628,3046875;16,025596618652344;69,0
70–71;0,0201789177954196;75185,84375;15,32345962524414;70,0
71–72;0,0217111781239509;73668,671875;14,628742218017578;71,0
72–73;0,0235206522047519;72069,234375;13,942301750183104;72,0
73–74;0,0256177932024002;70374,1171875;13,26608943939209;73,0
74–75;0,0281220823526382;68571,2890625;12,601726531982422;74,0
75–76;0,0304667744785547;66642,921875;11,951899528503418;75,0
76–77;0,0343391932547092;64612,52734375;11,311765670776367;76,0
77–78;0,037380039691925;62393,78515625;10,69623565673828;77,0
78–79;0,0414997115731239;60061,50390625;10,092171669006348;78,0
79–80;0,0452470481395721;57568,96875;9,507478713989258;79,0
80–81;0,0508330464363098;54964,14453125;8,934354782104492;80,0
81–82;0,0562540329992771;52170,1484375;8,38606071472168;81,0
82–83;0,0624707005918026;49235,3671875;7,85612678527832;82,0
83–84;0,0695255324244499;46159,59765625;7,34628963470459;83,0
84–85;0,0768687203526496;42950,328125;6,857848644256592;84,0
85–86;0,0860538557171821;39648,79296875;6,38726282119751;85,0
86–87;0,0945445150136947;36236,86328125;5,941586017608643;86,0
87–88;0,1061952784657478;32810,8671875;5,509777545928955;87,0
88–89;0,1189831793308258;29326,5078125;5,105002403259277;88,0
89–90;0,132945716381073;25837,146484375;4,726917743682861;89,0
90–91;0,148103654384613;22402,208984375;4,3750319480896;90,0
91–92;0,1644573211669922;19084,359375;4,048713207244873;91,0
92–93;0,1819830387830734;15945,796875;3,747195482254028;92,0
93–94;0,2006303071975708;13043,9326171875;3,469594240188598;93,0
94–95;0,2203197479248047;10426,923828125;3,2149200439453125;94,0
95–96;0,2409424781799316;8129,66650390625;2,9820942878723145;95,0
96–97;0,2623609006404876;6170,884765625;2,7699685096740723;96,0
97–98;0,2844113409519195;4551,8857421875;2,577342987060547;97,0
98–99;0,3069082498550415;3257,27783203125;2,402984619140625;98,0
99–100;0,3296500146389007;2257,59228515625;2,2456462383270264;99,0
100 and over;1,0;1513,376953125;2,104081630706787;100,0
